question_original,question_clean,answer_original
How will I get the PIN for the card?,get pin card,You can get the PIN for the card by visiting this link: https://www.axisbank.com/retail/cards/credit-card/useful-links/credit-card-authentication
I did not get the correct cashback as per my transactions on Flipkart. What should I do?,get correct cashback per transactions flipkart,"To know more about cashback, please reach out to Axis Bank customer support at 1860 419 5555."
I want to know the CVV number on the card?,want know cvv number card,"The virtual card and CVV are available in the Flipkart Axis Bank Credit Card section under 'My Accounts' section of the app. Once the physical card is delivered to you, the CVV number is available behind your card. Disclaimer: Please do not disclose your PIN or CVV to anyone. In case your card is misused, Bank or Flipkart won't be responsible for any unauthorised transactions that may have happened due to the disclosure."
How can I pay the outstanding bill?,pay outstanding bill,"To know about payment options, please reach out to Axis Bank customer support at 1860 419 5555."
Will the card number and CVV remain the same for both the physical and the virtual card?,card number cvv remain physical virtual card,"Yes, it will remain the same."
When will I get the physical card?,get physical card,The physical credit card will be delivered to your registered address with Axis Bank within 7 to 10 business days of application approval.
What are the key benefits of Flipkart Axis Bank Credit Card?,key benefits flipkart axis bank credit card,"



Some of the benefits of Flipkart Axis Bank Credit Card are:- 5% cashback for spends on Flipkart, Myntra, 2Gud- 4% cashback for spends on preferred partners (MakeMyTrip/GoIbibo, Uber, PVR, Curefit, UrbanClap)- 1.5% cashback for spends on all other merchants- No Cost EMI applicable for purchases on Flipkart for all tenures- Four complimentary domestic lounge access visits- 1% Fuel surcharge waiver upto Rs. 500 per month
Welcome benefits:- Flipkart Gift Card of Rs. 500 as an activation benefit for transacting with the card anywhere, for any amount- 15% cashback upto Rs. 500 on Myntra- Rs. 500 off on domestic hotels via Makemytrip- Rs. 500 off on domestic hotels on Goibibo- Benefits of upto Rs. 900. Unlimited access to 6 months of Gaana Plus membership. 50% off for the next 6 months- 20% off upto Rs. 400 on UrbanClap
Please click here for terms and conditions.



"
How can I apply for Flipkart Axis Bank Credit Card? Am I eligible for the card?,apply flipkart axis bank credit card eligible card,"You can apply for the Flipkart Axis Bank Credit Card by visiting the Flipkart Home Page and clicking on 'Apply Now' on the banner or by going to the Flipkart Axis Bank Credit Card section under 'My Account'. Alternatively, you can apply for the card through Axis Bank's channels such as by visiting any of their branches, tablet sourcing, Axis Bank mobile banking app, etc."
What is Flipkart Axis Bank Credit Card?,flipkart axis bank credit card,Flipkart Axis Bank Credit Card is a credit card issued by Axis Bank in association with Flipkart Internet Pvt Ltd. (Flipkart) and Mastercard. Every purchase that you make on Flipkart.com and outside Flipkart.com will earn you unlimited cashback that will be credited to your credit card account. You can use these cashback for your future purchases.Please note that a joining/annual fee of Rs. 500 is applicable unless it is acquired under the First Year Free offer.
Why do I see different prices for the same product?,see different prices product,"You could see different prices for the same product, as it could be listed by many Sellers."
"Is installation offered for all products?
 ",installation offered products,Installation and demo are offered for certain items by sellers through the brand or an authorised service provider. Please check the individual product page to see if these services are offered for the item.
Is it necessary to have an account to shop on Flipkart?,necessary account shop flipkart,"Yes, it's necessary to log into your Flipkart account to shop. Shopping as a logged-in user is fast & convenient and also provides extra security.
You'll have access to a personalised shopping experience including recommendations and quicker check-out."
What does 'Preorder' or 'Forthcoming' mean?,preorder forthcoming mean,Items marked as 'Preorder' or 'Forthcoming' are expected to be released soon and you can pre-book them with sellers. Such items will be shipped after their official release by the seller with whom you've pre-booked them.
Do sellers on Flipkart ship internationally?,sellers flipkart ship internationally,"Currently, sellers on Flipkart only ship within India."
Can I use an item that has been given to me as a gift from a state sponsored or an NGO-funded freebie distribution programme to get discounts through exchange offers?,use item given gift state sponsored ngofunded freebie distribution programme get discounts exchange offers,"No, as per company policy, such items are not eligible for discounts under exchange offers. You can also refer to the 'Exchange Offers' section in the 'Terms of Use' page for more details."
Will I get a wall mount for my television in the box?,get wall mount television box,"If mentioned in the sales package the wall mount for your television will be in the box. However, in some cases, the wall mount, if applicable for the model, will be with the installation team."
Can I order a product that is 'Out of Stock' or 'Temporarily Unavailable'?,order product stock temporarily unavailable,The products listed as 'Out of Stock' or 'Temporarily Unavailable' are not available for sale. Please use the 'Notify Me' feature to be informed of the product's availability with sellers on Flipkart.
What does 'Out of Stock' mean?,stock mean,An item is marked as 'Out of stock' when it is not available with any sellers at the moment; you won't be able to buy it now. Use 'Notify Me' feature to know once it's available with sellers for purchase.
What does 'Permanently Discontinued' or 'Out of Print' mean?,permanently discontinued print mean,An item is marked as 'Out of stock' when it is not available with any sellers at the moment; you won't be able to buy it now. Use 'Notify Me' feature to know once it's available with sellers for purchase.
What is Flipkart Buyer Protection?,flipkart buyer protection,"Flipkart Buyer Protection helps shoppers in case they have concerns with product(s) bought and haven't got a satisfactory solution from the seller.
 
Under this program, we look into your concern on a case-by-case basis & do our best to be fair to both parties. Flipkart's decision on the resolution will be final for the concern raised."
How does 'Instant Cashback' work?,instant cashback work,'Instant Cashback' is applied directly to the product or order value in your cart and you do not have to wait for the cashback to be credited to your bank account/credit or debit card at a later date.
Are there any hidden charges (Octroi or Sales Tax) when I shop on Flipkart?,hidden charges octroi sales tax shop flipkart,"There are NO hidden charges when you shop on Flipkart. The price you see on the product page is final and it's exactly what you pay.
Note: There can be additional delivery charges based on the seller's policy."
Why do I see different prices for books with the same title?,see different prices books title,"You can find various editions of books with the same title on Flipkart -- from paperbacks or hardcovers to collector's editions. Some of them are re-published/printed within India, while some editions are imported. The price of the titles varies based on this and the seller offering it.
All other available editions and their prices for a particular title are mentioned on the respective product page under 'Other Editions'.
 "
Can I club my orders from different sellers to be delivered together?,club orders different sellers delivered together,"Currently, there is no option to club orders from different sellers to be delivered together as sellers could be located in different locations and the delivery timelines would vary based on their partnered courier service providers. To ensure your items reach you at the earliest, each seller ships their products as per their individual timelines."
Why do I see a 'delivery charge'?,see delivery charge,"
It usually costs sellers more to ship some items. So, sometimes they choose to add a delivery charge. The delivery charge is waived off by some sellers if you shop with them for a certain amount. For more information, check the individual seller's policy on the product page.
"
Is Flipkart Advantage the same as 'Plus'?,flipkart advantage plus,"
No. While Flipkart Advantage was the tag for all items listed by sellers who used our partner warehouse services, the 'Plus' badge is only given to select items based on certain criteria such as product quality and delivery timeline.
"
Do I have to pay extra for items with the Plus badge?,pay extra items plus badge,"
No, you can shop for items with the Plus badge at no extra charge.
"
Is there a filter available through which I can only see items with a Plus badge?,filter available see items plus badge,"
Yes, there is a filter available through which you can shop only for items with the Plus badge.
"
What are the benefits of buying an item with a Plus badge?,benefits buying item plus badge,"
Items with the Plus badge are extensively quality checked from storage to transit safe packaging and also comes along with fast & free delivery* from our best sellers.
*Free shipping for orders above Rs. 500
"
What does the badge Plus mean?,badge plus mean,"
The Plus badge is a seal of quality and speed. Products with this badge meet our extensive quality & packaging guidelines along with having faster delivery timelines.
With stringent seller & product selection combined with fast & free* delivery, 'Plus' guarantees you a superior and hassle-free shopping experience every time.
*Free shipping for orders above ₹500
"
Why do I see a shipping charge for an item with the Plus badge?,see shipping charge item plus badge,"
Sellers may charge a nominal fee for shipping, even for products with the Plus badge, if the order is less than ₹ 500.
 
Shipping is free for items with the Plus badge if the order value is more than ₹ 500.
"
What can I do if the balance in my wallet is not enough to pay for my order?,balance wallet enough pay order,"
You can pay part of the amount through your wallet and the remaining through any other prepaid payment modes like Credit/Debit Cards, and Flipkart Gift Cards.  
Please note that wallet cannot be combined with Cash/Card on Delivery (CoD) payment mode for now, and bank offers will not applicable for partial payments from the wallet.
"
Can I choose PhonePe wallet as a refund option?,choose phonepe wallet refund option,"Yes, you can choose to have the amount refunded to your PhonePe wallet provided the balance does not exceed ₹20,000."
Do I need to install the PhonePe app to use the wallet option on my Flipkart account?,need install phonepe app use wallet option flipkart account,"No, you will be able to use the wallet option on your Flipkart account for payments without installing the PhonePe app.
You can choose to install the PhonePe app to access other payment features."
How long will it take for a refund from Flipkart to my PhonePe wallet?,long take refund flipkart phonepe wallet,Refund to your PhonePe wallet is instant and will be credited to your wallet as soon as the pickup or a cancellation is confirmed by the sellers or courier service providers.
I had some amount in the Flipkart Money section and would like to transfer it to my bank. Will I need to install the PhonePe add to do this?,amount flipkart money section would like transfer bank need install phonepe add,"You can easily transfer the amount to your account from the Flipkart app or website.
You would not have to install the PhonePe app to transfer money from your PhonePe wallet to your bank account."
"If my refund amount exceeds ₹20,000, will I get the option for PhonePe UPI linked account and other registered account for NEFT or IMPS?",refund amount exceeds ₹ get option phonepe upi linked account registered account neft imps,You can easily transfer the amount to your account from the Flipkart app or website. You would not have to install the PhonePe app to transfer money from your PhonePe wallet to your bank account.
Will I have to use the same contact number to create a PhonePe account as the one linked to my Flipkart account?,use contact number create phonepe account one linked flipkart account,"No, you don't have to use the same contact number."
Is it necessary to register with PhonePe to use it on Flipkart?,necessary register phonepe use flipkart,"No, it's not necessary to register with PhonePe to pay from your wallet. Registration will be necessary if you want to pay directly from your bank account by linking it to the PhonePe app."
Is PhonePe wallet available on Flipkart's Windows and iOS apps too?,phonepe wallet available flipkarts windows ios apps,"Yes, PhonePe wallet is available on our Windows and iOS apps too."
My PhonePe Wallet is not activated. How do I get a refund credited to it?,phonepe wallet activated get refund credited,"To get a refund into your PhonePe wallet, please activate it from your Flipkart account by selecting Wallet and clicking on the 'Activate PhonePe' option."
Why are faster delivery options not available at my location?,faster delivery options available location,Faster delivery options may not be available at your location due to courier related reasons but we’re trying to expand our services to include more places. Stay tuned for updates!
Why can't I get some items shipped to my location?,cant get items shipped location,Some sellers prefer not to ship to certain locations due to the cost involved and this is entirely at their discretion. You can check with your pincode on the product page to see any other sellers ship to your location.
Are faster delivery options like Same Day & In-a-Day available on return requests?,faster delivery options like day inaday available return requests,"No, however, we try our best to have your item(s) picked up by our courier service providers & get you the replacement as soon as possible. "
What are the standard shipping speeds and delivery charges?,standard shipping speeds delivery charges,"Standard Shipping Speeds and Delivery charges for F-Assured (Flipkart Assured) and Non F-Assured items vary based on the destination pincode entered.  Orders with items that are F-Assured worth Rs. 500 or more will qualify for free delivery, else, a delivery charge of Rs. 40 will be applicable.
All grocery (F-Supermart) orders worth Rs. 1200 or more are eligible for free delivery.
You can check if an F-Assured item can be delivered to your location by entering a delivery pincode on the product page (this widget is placed next to the section 'Delivery') and hitting enter. Available shipping speeds and delivery charges as per your location will be displayed.
For certain items, you can choose the delivery speed accordingly in 'Order Summary' page while placing the order.
For Grocery orders, you can choose from the following delivery slots1. 7:00 AM to 9:30 AM2. 9:30 AM to 12:00 PM3. 5:00 PM to 7:30 PM4. 7:30 PM to 1:00 PM)
Standard shipping speeds and delivery charges for non F-Assured items
Delivery charges and shipping timelines may vary based on seller. Delivery timeline is displayed on the product page. You can choose a delivery pincode on the product page and it will display the list of sellers who cater to that location and the applicable shipping charges."
Why didn't my order qualify for free delivery?,didnt order qualify free delivery,"Your order qualifies for free delivery if you order F-Assured products worth Rs. 500 and above. If your order value for F-Assured products is less than Rs. 500, a delivery fee of Rs. 40 will be charged.For products that are non-F-Assured, delivery charges if any will be decided by the sellers and will vary. Please click on 'View sellers' under the seller rating on the product page for information about sellers selling any particular product and their respective delivery charges."
"Why am I unable to order products like television, air-conditioner, refrigerator, washing machine, furniture, microwave, treadmill, etc. at my location?",unable order products like television airconditioner refrigerator washing machine furniture microwave treadmill etc location,"The delivery of large category products at a particular location depends on the following factors:

Dimensions and weight 
Location of the seller
Serviceability of the seller's partnered service provider 

Always ensure to update your preferred delivery location/address to verify if the seller is offering the product or deal at your location."
How do I contact seller's partnered courier service providers?,contact sellers partnered courier service providers,"Here are the contact details of some of the leading courier service providers:

E-Kart - www.ekartlogistics.com
Gati - www.Gati.com
Delhivery - www.delhivery.com
Blue Dart - www.bluedarttrackings.in
Ecom - www.ecomexpress.in
DotZot - www.dotzot.in
Speed Post - India Post - www.indiapost.gov.in
"
How can I buy using a Gift card?,buy using gift card,"It’s simple! When you’re prompted to choose a Payment Method for your order, choose ‘Gift Card’ as the Payment Method &
1. Enter your 16-digit Gift Card Number & the 6-digit Gift Card PIN2. Click ‘Confirm Order’
You can apply a total of 15 Gift Cards per order & if your Gift Card value is less than the order amount, you’ll be asked to select an additional payment method to complete the payment.
 "
How can I become a seller and start selling products on Flipkart?,become seller start selling products flipkart,"To become a seller on Flipkart, register here with your details."
Are there any guidelines for writing product reviews?,guidelines writing product reviews,"Product reviews on flipkart.com are a great way to help other customers decide what to buy & avoid.
Here are some tips to writing great product reviews:
Have you used this product? It's always better to review a product you have personally used.
Educate your readers. Provide a relevant, unbiased overview of the product. Readers are interested in the pros and the cons of the product. Make sure your review stands the test of time, and what you write today is relevant even after years.
Be yourself, be informative. Let your personality shine through, but it's equally important to provide facts to back up your opinion.
Get your facts right! Nothing is worse than inaccurate information. If you're not really sure, research always helps.
Stay concise. Be creative but also remember to stay on topic. A catchy title will always get attention!
Easy to read, easy on the eyes. A quick edit & spell check will work wonders for your credibility. Also, break reviews into small, easy paragraphs."
What can I write in product reviews?,write product reviews,Customer reviews should be relevant to the product in question. The product review section on Flipkart is for you to share your opinion on the product & for other shoppers to have an informed buying decision.
What's not allowed in product reviews?,whats allowed product reviews,"Customer reviews should be relevant to the product in question. The product review section on flipkart.com is for you to share your opinion on the product, and for other customers to research better and have an informed buying decision. Flipkart.com reserves the right to remove reviews that include any of the following:
- Irrelevant review (Review consisting of a combination of random characters, random words, repeated content, reviews on another product)- Service feedback, including availability, order or payment related queries. You may use the Contact Us form for such queries- HTML embedded in text references to other retailers- Pricing related comments- Personal information (Phone numbers, postal address, email address and others)- Profane comments. Inflammatory comments. Copyrighted comments- Plagiarised content (Any content found elsewhere on the internet, even if you're the original author)- Promotional content- Reviews by or on behalf of a person or company with a financial interest in the product or a competitors product (Reviews by authors, artists, publishers manufacturers without disclosure)- Reviews written for any form of compensation- Reviews given using fake ids, irrelevant user email ids - Asking for helpful votes- Review in any language other than English (Unless there is a clear connection to the product, like a regional book or a regional music album)- Feedback about errors in the product description"
Can I reactivate my inactive Flipkart account?,reactivate inactive flipkart account,"Yes. To reactivate your Flipkart account, simply log in with your registered email ID or mobile number/password combination used before deactivation. Your account data will be fully restored, default subscription settings applied."
Do I need to verify my mobile number or email address every time I log in?,need verify mobile number email address every time log,"As the verification step is a one time process, you won't have to do it again once your account is verified."
What should I do if I don't get the OTP or verification code?,dont get otp verification code,"Sometimes, SMS messages may be delayed by a few minutes because of network issues. You can regenerate the code through the 'Resend Code' option."
What is an OTP or verification code?,otp verification code,"An OTP (One Time Password) or verification code is a password/code used to verify your mobile number or email ID when you log into your Flipkart account for the first time.
OTP verification will be also be done in other cases like creating an account, password recovery, and updating email/mobile details."
Why do I need to verify my mobile number or email address to log into my Flipkart account?,need verify mobile number email address log flipkart account,"To make sure that your account details are always secure, verification by OTP (One Time Password) is important. This is a one-time process and you can log into your Flipkart account without any hassles once this is done. "
How can I add a new delivery address to my Flipkart account?,add new delivery address flipkart account,"To add a new delivery address, follow these simple steps:1. Log into your Flipkart account
1. Log into your Flipkart account2. Go to My Account › Settings › Addresses3. Add details of your new address 4. Choose 'Save Changes'"
How can I change the password for my Flipkart account?,change password flipkart account,"To change the password for your Flipkart account, follow these simple steps:
1. Log in to your Flipkart account2. Go to My Account › Settings › Change password3. Enter your old password4. Enter your new password5. Choose 'Save Changes'"
How can I use a new email address to log in to my Flipkart account?,use new email address log flipkart account,"To log in to your Flipkart account with a new email address, you can update your email ID with these simple steps:
1. Log in to your Flipkart account2. Go to My Account › Settings › Update Email/Mobile 3. Add the new email ID 4. Enter the verification code sent to the new email ID 5. Choose 'Save Changes'
Please note, once your email address is updated, you'll no longer be able to sign in using your old email id."
How can I deactivate my account?,deactivate account,"To deactivate your Flipkart account, follow these simple steps:
 
1. Log into your Flipkart account
2. Go to My Account › Settings › Deactivate
3. Enter the password for your account
4. Choose 'Confirm Deactivation'"
How can I change the email ID linked with my Flipkart account?,change email id linked flipkart account,"To change the email ID associated with your Flipkart account, follow these simple steps on our website:
1. Log in to your Flipkart account2. Go to My Account › Settings › Update Email/Mobile3. Add the new email ID 4. Enter the verification code sent to your old and new email IDs 5. Choose 'Save Changes'
 "
Can I use an international number to sign up?,use international number sign,"Yes, you can use an international number to sign up. This number can only be used for logging in and subscribing to order-related updates and confirmation details."
How can I use my mobile number to login on the Flipkart mobile app?,use mobile number login flipkart mobile app,"To log into the Flipkart mobile app, update your mobile number from your Flipkart account on our website with these simples steps:
1. Go to My Account › Settings › Update Email/Mobile 
2. Add your mobile number 
3. Enter the OTP received on your registered mobile number 
4. Select 'Save Changes'
 "
Can I use a corporate email ID to sign up?,use corporate email id sign,"Yes, you can use a corporate email ID. However, please ensure that you have updated your current active email address to continue using your account in the unlikely event of your account getting deleted or deactivated."
"I'm getting an error message that says, 'You've exceeded the maximum number of attempts to enter correct verification code'. How can I log in to my Flipkart account now?",im getting error message says youve exceeded maximum number attempts enter correct verification code log flipkart account,"If a wrong code is entered for verification more than a specific number of times, this error message will be seen and for security reasons, your account will be blocked for the next 24 hours. To log in, please try again after 24 hours by entering the correct OTP. "
"I always login using my phone number, but I recently lost my phone. I have also forgotten the password to my Flipkart account. How do I access it?",always login using phone number recently lost phone also forgotten password flipkart account access,"
If you have forgotten the password for your account, you can reset it using the 'Forgot password' option available on the home page. Just enter your registered email ID to get an OTP, once you have the OTP simply follow the prompts. If you regain access to your phone number, you can always log in using OTP else, if an email ID is registered with your account, you can click on 'Forget Password' and attempt to log in. In the unlikely event of these not working, you can contact our customer support team for further assistance. 
 
"
How do I report a listing infringement?,report listing infringement,"If you think that your IP right has been infringed by any of our sellers, you can follow the below process. We require that the Intellectual Property right owner or authorized agent provide the following details and email it to infringement@flipkart.com,

Identification or description of the copyrighted work/ trademark that has been infringed.
Clear identification or description of where the material that you claim is infringing is located on www.flipkart.com with adequate particulars.
Product ID / website links of infringing products (in case of copyright infringement). Flipkart is unable to process requests which do not specify exact product IDs or URLs. Please do not provide links to browse pages or links of search queries as these pages are dynamic and their contents change with time.
Your address, telephone number, and email address.
A statement by you that you have a good faith belief that the use of the material complained of is not authorized by the copyright or intellectual property owner, its agent, or the law.
A statement by you, that the information in your notice is accurate and that you are the copyright or intellectual property owner or authorized to act on the copyright or intellectual property owner's behalf Brand Name (in case of Trademark infringement)
Details of the intellectual property being infringed (Provide copyrighted images or trademark certificates as attachments)
"
If I have found a security Bug/Vulnerability/Issue what should I do?,found security bugvulnerabilityissue,"We take security very seriously at Flipkart. If you have found an issue on Flipkart, you can report it to security@flipkart.com with the below details:
1. Steps to reproduce the bug/issue
2. Your web browser/mobile browser's name and version
3. Screenshot/screencast (if any)."
I see that the warranty terms for my product have changed on Flipkart from when I bought the product. Will this affect my warranty?,see warranty terms product changed flipkart bought product affect warranty,No. The warranty terms for your product will be the same as when you got the product & will not affect your warranty in any way.
I lost my warranty card. How can I get warranty?,lost warranty card get warranty,You can get warranty for your product even without a warranty card. Please use the invoice which will serve as your warranty claim at any authorized service center of the brand.
How can I claim warranty for my product?,claim warranty product,You can claim the warranty for your product by using the invoice at any authorized service center of the brand.
I want to check my warranty details for the product but I don’t have the warranty card. What should I do?,want check warranty details product don’t warranty card,Please contact our Customer Support and we will help you with the details.
There is a mismatch in warranty terms between Flipkart and the brand's website. What will happen to the warranty on my product now?,mismatch warranty terms flipkart brands website happen warranty product,"The mismatch could be because of the change in warranty terms for the product over time. Rest assured, you will be entitled to the terms listed on the warranty card that was provided to you at the time of purchase."
There is no seal on the warranty card I got. How will I claim warranty?,seal warranty card got claim warranty,The seal on the warranty card is not mandatory for the warranty to be valid. The invoice you received along with the product can be used to claim warranty for the product as it has the details of your purchase.
How does warranty work on replacement products?,warranty work replacement products,The warranty on replacement products will be the same as the initial product delivered to you. The invoice you receive with the replacement can be used to claim warranty related services.
What should I do if there is a difference in the warranty mentioned on Flipkart & the physical warranty card I got?,difference warranty mentioned flipkart physical warranty card got,"The mismatch could be because of the change in warranty terms for the product over time. Rest assured, you will be entitled to the terms listed on the warranty card that was provided to you at the time of purchase."
Should I register the product with the brand to avail the warranty benefits on it?,register product brand avail warranty benefits,"No, it's not necessary to register the product with the brand. The warranty is automatically valid from the date on the seller's invoice sent to you."
I didn't get a warranty card with my product. How can I get the warranty?,didnt get warranty card product get warranty,You need not have a warranty card to claim warranty for your product. Please use the invoice which can be used to avail warranty at any authorised service centre of the brand.
Will warranty be applicable for my product since I bought it online?,warranty applicable product since bought online,"At Flipkart, all our sellers offer products from authorised vendors or brands directly and are 100% genuine. Rest assured, products will have the applicable warranty from brands as confirmed on the product page."
How do I sign up for an extended warranty for my product?,sign extended warranty product,You may get in touch with the brand to register for an extended warranty for your product.
I don't remember the warranty details for my product. Where can I find it?,dont remember warranty details product find,You can check the brand website for the warranty details of your product. The product invoice can be used to claim the services from any Authorised Service Centre.
From when is the warranty for my product applicable?,warranty product applicable,"
The warranty for your product starts from the date mentioned on the seller's invoice. In case of iPhones, the SIM activation date will be considered as the date from which the warranty of your product starts.  
"
I didn’t get the Gift Card I ordered for. What should I do?,didn’t get gift card ordered,"Please check your inbox and spam folder for the Gift Card.
If you don’t find the card in spite of this, you can get the card details from your Flipkart account. To do this,

Visit your Orders
Go the order for the Gift Card
Click on resend Gift Card details
"
My Gift Card has expired. Can you extend its validity?,gift card expired extend validity,"Gift Cards have a validity period of 1 year from the date of purchase and once a Gift Card expires, it's validity cannot be extended."
What does 'Transfer' Gift Card in my Wallet do?,transfer gift card wallet," 
You can use the 'Transfer' option to transfer your Gift Card to anyone through your Flipkart app by entering their email ID.
 
Please note that the expiry date of the Gift Card does not change when you transfer it to someone and is valid for 1 year from the date of purchase."
Does a Gift Card expire?,gift card expire,"Yes, all Gift Cards have a validity of 1 year from the date of issue and will expire after that."
Is there a limit on how many Gift Cards I can use in a single order?,limit many gift cards use single order,You can use up to 15 Gift Cards to pay for a single order.
What happens to the unused balance in my Gift Card after it expires?,happens unused balance gift card expires,The unused balance of the Gift Card expires along with the Gift Card.
"I've lost my Gift Card PIN, what can I do?",ive lost gift card pin,"If you've bought the Gift Card from Flipkart directly, you can resend the Gift Card details to the recipient by following these simple steps:
1. Go to 'My Orders'2. Select the Gift Card order3. Click on 'Resend Gift Card' and the recipient will get the Gift Card with a new PIN
If you've got the Gift Card as a Gift, you may get in touch with the original buyer and they will be able to help you out."
Can I transfer partially used Gift Card to someone?,transfer partially used gift card someone,"Yes, you can transfer your partially used Flipkart Gift Card as long as it hasn't expired and has some balance left.
The receiver will not be able to see any transactions made from your Flipkart wallet.
Please note that the expiry date of the Gift Card does not change when you transfer it to someone."
How can I unlink a Gift Card which is added to my wallet?,unlink gift card added wallet,"To unlink your Gift Card, transfer it to yourself by using the 'Transfer this Gift Card' option and enter your email ID. The Card ID and PIN will be sent to you while the Gift Card is unlinked from your Wallet. It can then be added to another person's Flipkart account."
How can I use a Gift Card?,use gift card," 
There are two ways in which you can use a Gift Card:
1. Add the Gift Card to your Flipkart Wallet and link it to your account. You will then be able to use it as a payment mode for your orders2. While placing your order, choose Gift Card as the mode of payment and enter your Gift Card number along with its PIN to pay"
What if the Gift Card is transferred to someone when I am expecting a refund for an order placed using the same Gift Card?,gift card transferred someone expecting refund order placed using gift card,Refund for a payment made from a Gift Card will be added back to it. Please check if there are any pending refunds expected to the Gift Card before you transfer it to someone.
Can I buy another Gift Card with the Gift Card I have?,buy another gift card gift card,"No, a Gift Card cannot be used to buy another Gift Card."
Can I get a new Gift Card for the remaining balance if my Gift Card has expired?,get new gift card remaining balance gift card expired,"No, the unused balance in a Gift Card automatically expires with the expiry of the Gift Card."
Can I use my Gift Card to buy items from different sellers in the same order?,use gift card buy items different sellers order,"No, a Gift Card cannot be used in a single order with different sellers. To buy items from different sellers using your Gift Card, please order separately."
Do I have to pay anything extra to buy or use a Gift Card?,pay anything extra buy use gift card,No. You can buy and use your Gift Card without paying anything extra.
What are the limits to buy Gift Cards?,limits buy gift cards,"You can buy a maximum of 100 Gift Cards in a month with a total limit of Rs. 1,00,000 (One Lakh). Purchases exceeding this limit will be automatically canceled.
Please refer to the Gift Card Terms & Conditions page for more details."
Are there certain things on Flipkart which I cannot buy through Gift Cards?,certain things flipkart cannot buy gift cards,"The following cannot be bought through Gift Cards:
1. Flipkart First subscription2. Other Gift Card(s) 3. Items from different sellers in a single order (you can use Gift Cards by ordering separately)
 "
What if my order amount is lesser than the Gift Card value?,order amount lesser gift card value,"If your order amount is lesser than the value of your Gift Card, the balance will stay your Card and you can use it to shop on Flipkart!"
How can I pay if the order amount is more than the value of my Gift Card?,pay order amount value gift card,"
You can pay the remaining amount using a debit/credit card or your PhonePe Wallet.
"
Will my shipment be safe at the pickup store?,shipment safe pickup store,"Rest assured, your shipment is safe with our trusted partners at all pickup stores."
How will I know that my shipment has reached the pick-up store?,know shipment reached pickup store,"Once your shipment has reached the pick-up store, you will be notified via email & SMS. A One Time Password (OTP) and a route map to the location of the pick-up store will also be shared with you."
How can I collect my shipment from the pick-up store?,collect shipment pickup store,"To collect your shipment from a pick-up store, follow these simple steps:
1. Walk into the pick-up store
2. Enter your OTP where you are asked to do so by the Store Manager and show a valid photo ID
 
As soon as the verification is complete, the shipment will be handed over to you.
 
Note: The photo IDs can be PAN card, Driving license, Aadhar card, College ID card, Employee ID card, Voters' ID card, Government approved cards, photo printed credit/debit card, and Bank passbook."
How does the pick-up store option on Flipkart work?,pickup store option flipkart work,"With the pick-up store option, you can choose to pick up your shipment from select pick-up stores at your convenience. All you need to do is choose the pick-up store option at the time of placing your order and you can walk into the pick-up location to collect your order once it reaches there.
You'll also receive an email and SMS once the shipment has reached the pick-up store."
How long do I have to pick up my shipment from the pick-up store?,long pick shipment pickup store,"You can pick up your shipment within 5 days of the order arriving at the pick-up store. If you are on vacation, or can't pick it up within 5 days, you can contact our Customer Support to schedule the pickup at a later date.
In case the shipment is not picked up within this time, the store will return the item to the seller and the order will be cancelled."
What should I do if my shipment is not at the pick-up store?,shipment pickup store,"If you have received a confirmation message that your shipment has reached the pick-up store and it is not there, please contact Customer Support."
What happens if I'm not able to pick up my shipment within 5 days from the pickup store for some reason?,happens im able pick shipment within days pickup store reason,"In case your shipment isn't collected from the pick-up store within 5 days, it will be returned to the seller. The order will be cancelled and a full refund initiated for pre-paid orders."
What is a pick-up store?,pickup store,A pick-up store is a location near you where you can now walk into a select partner store and collect your order at your own convenience. The option to choose this as a delivery option is available on our mobile app.
Is a pick-up store option better than having the shipment sent directly to me?,pickup store option better shipment sent directly,Pick-up stores are an option is for those who want to collect their orders at leisure. It works great for those who can't receive shipments at home or offices at the specific moment the courier executive calls.
Can I drop off an item I want to return at the pick-up store?,drop item want return pickup store,"Pick-up stores are not authorised to accept items for returns yet. To return items, please raise a request from the 'My Orders' section of your Flipkart account and wait for more details via email and SMS."
Can someone else collect an order on my behalf from a pick-up store?,someone else collect order behalf pickup store,"Yes, someone else can collect the order for you. To do this, the person will have to share the OTP sent to you by SMS and a vaild photo ID at the pick-up store."
Is my shipment safe at the pick-up store?,shipment safe pickup store,"Yes, your shipment is safe at our well-equipped and trusted pick-up stores."
What are the benefits of choosing the pick-up store option for delivery?,benefits choosing pickup store option delivery,Pick-up stores are an option is for those who want to collect their orders at leisure. It works great for those who can't receive shipments at home or offices at the specific moment the courier executive calls.
"My shipment is damaged at the self pickup store, what do I do?",shipment damaged self pickup store,Please do not accept your shipment at the pickup store if it's damaged. Let us know about it by contacting our Customer Support & we'll look into this for you. 
How much time does it take for the shipment to reach a pickup store?,much time take shipment reach pickup store,Standard delivery times apply for shipments to be delivered at pickup locations. You can check the status of your order from My Orders section.
How to know if my area has self pick-up service?,know area self pickup service,"When you're placing an order with your address, choose the self-pickup option to see a list of possible stores where you can walk in & collect your shipments. In case your address doesn't have any pickup stores, you'll get a message which says, 'Self pickup not available in your location'. This option is currently available only on Android app at the moment."
